Industry,Number of firms,Current PE,Trailing PE,Forward PE,Aggregate Mkt Cap/ Net Income,Aggregate Mkt Cap/ Trailing Net Income,Expected growth - next 5 years,PEG Ratio,
Retail (General),23,32.67,27.65,22.96,21.64,19.77,19.01%,1.04,
Retail (Grocery and Food),21,41.32,31.83,33.07,12.46,12.44,13.45%,0.93,
Retail (Online),46,95.49,59.46,261.70,40.48,32.47,24.37%,1.33,
Retail (Special Lines),128,49.01,35.59,20.67,25.08,23.26,15.52%,1.50,
Rubber& Tires,4,15.30,13.70,10.92,13.56,13.91,14.50%,0.96,
Semiconductor,100,64.87,93.00,23.79,23.99,20.61,16.61%,1.24,
Semiconductor Equip,47,69.07,48.99,46.72,41.43,22.71,13.43%,1.69,
Shipbuilding & Marine,14,13.73,13.39,27.40,94.76,6.51,37.65%,0.17,
Shoe,13,42.27,21.88,19.45,29.85,26.64,13.40%,1.99,
Software (Entertainment),20,616.07,48.14,56.47,25.15,21.00,16.60%,1.27,
Software (Internet),327,172.07,157.21,146.48,40.66,27.28,23.21%,1.18,
Software (System & Application),259,92.63,85.73,74.45,22.10,21.65,20.58%,1.05,
Steel,40,37.12,52.01,35.51,136.39,20.18,8.75%,2.31,
Telecom (Wireless),21,131.78,66.02,24.36,NA,126.57,13.63%,9.28,
Telecom. Equipment,126,119.11,77.37,31.53,19.42,17.77,18.22%,0.98,
Telecom. Services,77,35.49,32.00,99.33,14.41,11.93,11.06%,1.08,
Tobacco,20,22.26,19.92,28.33,17.69,18.80,7.54%,2.50,
Transportation,21,26.90,25.11,27.20,23.79,24.55,14.76%,1.66,
Transportation (Railroads),10,29.89,25.81,18.65,22.15,20.46,12.68%,1.61,
Trucking,30,51.68,27.84,23.78,31.28,25.31,18.77%,1.35,
Unclassified,8,19.48,18.87,NA,NA,12.06,NA,NA,
Utility (General),21,24.12,20.12,18.85,23.67,20.32,6.03%,3.37,
Utility (Water),19,22.42,19.81,39.55,24.73,21.88,6.09%,3.59,
Total Market,7887,72.13,60.49,35.25,18.36,18.06,15.12%,1.19,
